,,,,,,,,,,,,,
VCAA Code,School Name,Sector,Locality,TOTAL COMPLETED YEAR 12 (NUMBER),ON TRACK CONSENTERS (NUMBER),ON TRACK RESPONDENTS (NUMBER),BACHELOR ENROLLED (PER CENT),DEFERRED (PER CENT), TAFE / VET ENROLLED (PER CENT),APPRENTICE / TRAINEE (PER CENT),EMPLOYED (PER CENT),LOOKING FOR WORK (PER CENT),Other (PER CENT)
11585,GOOD NEWS LUTHERAN COLLEGE,I,TARNEIT,26,19,10,40,30,10,10,0,10,0
01605,GOULBURN VALLEY GRAMMAR SCHOOL,I,SHEPPARTON - NORTH,95,90,58,69,21,5,3,2,0,0
01139,GREENSBOROUGH SECONDARY COLLEGE,G,GREENSBOROUGH,141,141,93,42,8,12,9,25,5,0
01562,GROVEDALE COLLEGE,G,GROVEDALE,88,69,45,33,11,11,22,16,7,0
01334,HALLAM SENIOR SECONDARY COLLEGE,G,HALLAM,253,163,100,16,2,31,11,27,12,1
01239,HEALESVILLE HIGH SCHOOL,G,HEALESVILLE - YARRA GLEN,49,30,18,11,17,11,28,22,6,6
01721,HEATHDALE CHRISTIAN COLLEGE,I,WERRIBEE,63,50,28,79,7,7,4,4,0,0
11954,HEATHERTON CHRISTIAN COLLEGE,I,MOORABBIN - HEATHERTON,29,25,16,63,6,6,6,6,6,6
01315,HEATHMONT COLLEGE,G,RINGWOOD EAST,48,29,22,36,18,0,14,27,5,0
01085,HEYWOOD DISTRICT SECONDARY COLLEGE,G,GLENELG (VIC.),22,20,14,29,14,7,0,43,7,0
01413,HIGHVIEW CHRISTIAN COMMUNITY COLLEGE,I,MARYBOROUGH REGION,56,41,31,52,13,6,13,10,6,0
01932,HILLCREST CHRISTIAN COLLEGE,I,CRANBOURNE EAST,99,98,56,70,2,14,7,5,2,0
01742,HOPPERS CROSSING SECONDARY COLLEGE,G,HOPPERS CROSSING - SOUTH,152,146,113,41,7,21,9,14,8,0
01395,HORSHAM COLLEGE,G,HORSHAM REGION,85,85,59,41,19,10,3,27,0,0
01553,HUME CENTRAL SECONDARY COLLEGE,G,BROADMEADOWS,143,117,82,32,5,24,7,20,12,0
01474,HUNTINGTOWER SCHOOL,I,MOUNT WAVERLEY - SOUTH,67,65,51,90,2,2,4,2,0,0
11577,ILIM COLLEGE,I,CAMPBELLFIELD - COOLAROO,75,70,40,60,5,28,3,3,3,0
01368,IVANHOE GIRLS' GRAMMAR SCHOOL,I,IVANHOE,121,105,74,76,16,7,0,1,0,0
01418,IVANHOE GRAMMAR SCHOOL,I,IVANHOE,197,161,99,80,7,5,4,1,2,1
01887,IVANHOE GRAMMAR SCHOOL,I,SOUTH MORANG,44,42,28,82,4,4,7,4,0,0
01467,JOHN FAWKNER SECONDARY COLLEGE,G,FAWKNER,46,31,21,24,10,33,5,19,10,0
14992,JOHN MONASH SCIENCE SCHOOL,G,CLAYTON,212,178,157,94,3,0,1,1,1,0
